Register number,Full Name,Father’s Name,Mother’s Name,Email,Phone Number,Date Of Birth,Gender,Aadhar,Batch Year,Degree,Current Status,Company Name,Designation,PG College,Skills,Reviews,LinkedIn Profile,Age,Username,Password
222CST00010,Lohit Vala,Ekbal Pant,Falak Raja,user10_auroracharles@example.org,0963677349,2004-02-28,Other,031976239108,2025,Bachelor of Architecture,Internship,"Venkataraman, Patla and Murthy",Community development worker,Not Applicable,"Marketing, Digital Marketing, Blockchain",Decent academic environment with excellent industry exposure.,https://linkedin.com/in/user_9833544,22,,
212BTBY00011,Lakshmi Kala,Vedant Nazareth,Jyoti Sridhar,user11_rlad@example.net,8191907217,2004-04-06,Other,189476529668,2024,Bachelor of Engineering,Sabbatical,Not Applicable,Not Applicable,Not Applicable,"Wet-Lab Techniques, Java, Blockchain",Great infrastructure though it was quite rigorous.,https://linkedin.com/in/user_9281623,22,,
211MST00012,Unni Karpe,Ekalinga Karan,Mekhala Rajan,user12_agarwalekiya@example.org,5407789878,2002-04-07,Other,437625822133,2022,Bachelor of Pharmacy,Preparing for Competitive Exams,Not Applicable,Student / Scholar,"Srivastava, Chanda and Ramanathan University","Graphic Design, Sales, C++",Great placement record which helped my career immensely.,https://linkedin.com/in/user_7237646,24,,
231HPS00013,Caleb Sundaram,George Nori,Nirja Wadhwa,user13_riya22@example.net,4981097612,1991-08-17,Male,680299509871,2013,Bachelor of Arts,Research Scholar,Not Applicable,Student / Scholar,Bose-Goel University,"Marketing, Communication, Sales",Decent academic environment and a great place to grow.,https://linkedin.com/in/user_8298801,35,,
222BPS00014,Gunbir Sekhon,Joshua Palan,Lakshmi Bakshi,user14_harishwable@example.net,4998500025,1990-04-21,Other,415899130641,2014,Master of Arts,Apprenticeship,Loke LLC,Stage manager,Not Applicable,"Cloud Computing, Agile Methodologies, Digital Marketing",Fantastic learning experience and a great place to grow.,https://linkedin.com/in/user_2473369,36,,
211MST00015,Karan Borde,Kabir Sharaf,Divya Samra,user15_bgole@example.com,2053241074,1994-10-25,Other,318401819874,2023,Master of Business Administration,Research Scholar,Not Applicable,Student / Scholar,Padmanabhan Inc University,"Search Engine Optimization, Power BI, Organic Synthesis",Excellent hands-on training but could be more modern.,https://linkedin.com/in/user_6358126,32,,
211PM00016,Ekantika Zacharia,Yagnesh Chatterjee,Aahana Hans,user16_balvanaggarwal@example.com,5075553900,2001-12-29,Other,181211922193,2024,Bachelor of Laws,Self-Employed,Self,Self-Employed,Not Applicable,"Agile Methodologies, Cybersecurity, Graphic Design",Highly engaging research facility making it worth the time.,https://linkedin.com/in/user_8067763,25,,
211BCMB00017,Laban Keer,Shivansh Goyal,Riya Andra,user17_batheesha@example.net,4140667160,1998-09-10,Other,087912420696,2020,Bachelor of Pharmacy,Career Break,Not Applicable,Not Applicable,Not Applicable,"Search Engine Optimization, Power BI, Wet-Lab Techniques",Good research facility and a great place to grow.,https://linkedin.com/in/user_0066070,28,,
222BCOMB00018,Wahab Jha,Tarak Balakrishnan,Kashish Sehgal,user18_peter83@example.org,8590227952,1994-05-11,Female,504443689321,2017,Bachelor of Commerce,Seeking Employment,Not Applicable,Not Applicable,Not Applicable,"C++, Agile Methodologies, Search Engine Optimization",Decent learning experience with excellent industry exposure.,https://linkedin.com/in/user_1423951,32,,
231BPS00019,Orinder Mohan,Chatresh Borah,Leena Trivedi,user19_nvohra@example.org,3329232987,1998-06-05,Female,762861415782,2019,Bachelor of Commerce,Teaching Assistant,Babu PLC,Chief Strategy Officer,Not Applicable,"Graphic Design, Financial Modeling, Blockchain",Great placement record making it worth the time.,https://linkedin.com/in/user_4255213,28,,
221INPP00020,Devika Sarraf,Manan Issac,Vasatika Kapadia,user20_wmani@example.org,3562935210,1992-04-06,Female,610011006037,2025,Bachelor of Pharmacy,Consultant,Sabharwal-Oak,Medical secretary,Not Applicable,"Wet-Lab Techniques, Agile Methodologies, Java",Decent research facility though it was quite rigorous.,https://linkedin.com/in/user_2436535,34,,
232BTBY00021,Jagdish Kapadia,Nachiket Ramesh,Tripti Narayan,user21_zarna25@example.com,0239860456,2004-02-13,Female,228780154583,2018,Bachelor of Arts,Freelancing,Self,Freelancing,Not Applicable,"Cloud Computing, Marketing, Search Engine Optimization",Decent placement record making it worth the time.,https://linkedin.com/in/user_9835872,22,,
221EPY00022,Yachana Sampath,Ayaan Jani,Janaki Rajan,user22_prasadxalak@example.net,7392074862,1997-09-10,Female,784404302064,2014,Master of Arts,Seeking Employment,Not Applicable,Not Applicable,Not Applicable,"Agile Methodologies, Project Management, Graphic Design",Fantastic infrastructure with lots of opportunities.,https://linkedin.com/in/user_7555755,29,,
231JPY00023,Saksham Palla,Vihaan Sibal,Dhriti Barad,user23_nandini82@example.org,5932126320,2003-12-25,Female,237909950650,2018,Master of Arts,Preparing for Competitive Exams,Not Applicable,Student / Scholar,Shah-Sandhu University,"Graphic Design, Blockchain, Cloud Computing",Outstanding placement record with lots of opportunities.,https://linkedin.com/in/user_5757435,23,,
231HSO00024,Yug Behl,Raghav Anne,Gayathri Behl,user24_nakul79@example.net,0887149160,2001-03-02,Female,133738448147,2019,Bachelor of Pharmacy,Research Scholar,Not Applicable,Student / Scholar,Sem-Warrior University,"Java, Blockchain, Quality Assurance",Highly engaging campus life overall a wonderful journey.,https://linkedin.com/in/user_0431563,25,,
222JNOE00025,Lakshmi Setty,Viraj Mannan,Vritti Sem,user25_jacob11@example.net,6564953415,2004-07-08,Male,857905705560,2024,Bachelor of Laws,Seeking Employment,Not Applicable,Not Applicable,Not Applicable,"Quality Assurance, Financial Modeling, Organic Synthesis",Fantastic academic environment overall a wonderful journey.,https://linkedin.com/in/user_1317025,22,,
221BPS00026,Aarini Buch,Isaac Pillai,Diya Gour,user26_aadi47@example.org,3029447953,2000-07-22,Male,795711103001,2025,Master of Technology,Postdoctoral Researcher,Not Applicable,Student / Scholar,Dada and Sons University,"Machine Learning, Java, Financial Modeling",Fantastic faculty support and a great place to grow.,https://linkedin.com/in/user_5854021,26,,
212BPS00027,Barkha Pau,Logan Sarin,Avni Sami,user27_dayita88@example.org,1235846817,2003-03-19,Female,280554445923,2015,Bachelor of Dental Surgery,CEO / Executive,Minhas Ltd,CEO / Executive,Not Applicable,"Data Analysis, C++, Blockchain",Amazing peer group but could be more modern.,https://linkedin.com/in/user_7920816,23,,
211ECPS00028,Benjamin Dyal,Gautam Butala,Aadhya Shanker,user28_jackson92@example.net,1597477723,1992-09-19,Female,973499324588,2014,Bachelor of Pharmacy,CEO / Executive,"Parikh, Sarma and Kanda",CEO / Executive,Not Applicable,"Sales, Machine Learning, Cybersecurity",Excellent academic environment and a great place to grow.,https://linkedin.com/in/user_7545975,34,,
221JPY00029,Nikita Memon,Girik Sabharwal,Ekani Kota,user29_atinadig@example.org,0335506106,1991-12-15,Other,630550160302,2017,Bachelor of Computer Applications,CEO / Executive,Jha-Ram,CEO / Executive,Not Applicable,"Data Analysis, Power BI, Project Management",Excellent peer group with excellent industry exposure.,https://linkedin.com/in/user_7680821,35,,
211PM00030,Ikshita Biswas,Michael Buch,Ridhi Narang,user30_hemaldube@example.com,9969377542,1996-12-18,Male,773302211030,2016,Master of Technology,Career Break,Not Applicable,Not Applicable,Not Applicable,"Financial Modeling, Agile Methodologies, Blockchain",Great learning experience and a great place to grow.,https://linkedin.com/in/user_5869961,30,,
231BBAB00031,Yoshita Zacharia,Balvan Soni,Hemani Jha,user31_kannanamara@example.com,5911144234,1998-11-14,Other,752743966512,2021,Bachelor of Fine Arts,Employed Full-Time,Chokshi-De,Trade union research officer,Not Applicable,"Marketing, Financial Modeling, SQL",Fantastic learning experience and very supportive staff.,https://linkedin.com/in/user_6847807,28,,
221EPY00032,Bhavini Dixit,Patrick Apte,Nisha Raval,user32_chakradharoommen@example.net,6432572707,1994-04-22,Other,009881682192,2023,Bachelor of Medicine and Bachelor of Surgery,Teaching Assistant,"Desai, Bora and Gandhi",Architectural technologist,Not Applicable,"Power BI, Financial Modeling, Marketing",Outstanding academic environment but could be more modern.,https://linkedin.com/in/user_7377853,32,,
231BTBY00033,Sathvik Chandran,Quincy Dhillon,Triya Peri,user33_baradvincent@example.com,5723503619,1995-08-19,Female,248790453867,2014,Master of Science,Apprenticeship,Oommen PLC,Set designer,Not Applicable,"Organic Synthesis, C++, Agile Methodologies",Amazing placement record making it worth the time.,https://linkedin.com/in/user_3070394,31,,
211CST00034,Rohan Sankaran,Nicholas Date,Manya Gera,user34_nbhandari@example.net,9979522653,2003-03-22,Other,737771595359,2015,Bachelor of Education,Postdoctoral Researcher,Not Applicable,Student / Scholar,Bail-Gokhale University,"Financial Modeling, C++, Marketing",Incredible learning experience with excellent industry exposure.,https://linkedin.com/in/user_6395152,23,,
212ELCS00035,Oliver Dhawan,Isaiah Luthra,Jyoti Chaudhari,user35_veer10@example.org,6958565055,2004-04-08,Female,948156900588,2014,Bachelor of Science,Seeking Employment,Not Applicable,Not Applicable,Not Applicable,"Graphic Design, Java, Data Analysis",Highly engaging peer group but could be more modern.,https://linkedin.com/in/user_5714500,22,,
211HSO00036,Chakrika Kale,Banjeet Srinivas,Amara Natarajan,user36_odasgupta@example.org,3775243766,1990-03-30,Male,589441255054,2018,Master of Science,Consultant,Soni Group,"Surveyor, insurance",Not Applicable,"Quality Assurance, Cloud Computing, Data Analysis",Thorough faculty support though it was quite rigorous.,https://linkedin.com/in/user_0051040,36,,
221BTBY00037,Chaaya Hans,Onkar Sharaf,Oni Mistry,user37_pacharya@example.org,7550700377,1994-11-14,Male,721920718373,2020,Bachelor of Laws,Freelancing,Self,Freelancing,Not Applicable,"Search Engine Optimization, Communication, Spectroscopic Analysis",Incredible learning experience though it was quite rigorous.,https://linkedin.com/in/user_8826803,32,,
212HSO00038,Azaan Kara,Kiaan Palla,Radha Anne,user38_praneel35@example.com,2093893616,1996-04-24,Other,046677160932,2015,Bachelor of Science,Pursuing Master’s Degree,Not Applicable,Student / Scholar,"Setty, Dar and Dhingra University","Agile Methodologies, C++, Digital Marketing",Fantastic learning experience though it was quite rigorous.,https://linkedin.com/in/user_5150128,30,,
231EPY00039,Jack Cheema,Zashil Loyal,Diya Mukherjee,user39_agastyaagate@example.com,0692859023,2003-06-13,Female,876797249388,2016,Master of Science,Self-Employed,Self,Self-Employed,Not Applicable,"Java, Marketing, Project Management",Excellent placement record though it was quite rigorous.,https://linkedin.com/in/user_0852029,23,,
211MST00040,Anya Lata,Chakradhar Roy,Vedhika Yogi,user40_indira26@example.com,0537458465,1994-05-27,Female,122238877983,2025,Bachelor of Computer Applications,Freelancing,Self,Freelancing,Not Applicable,"Search Engine Optimization, Financial Modeling, Machine Learning",Amazing learning experience which helped my career immensely.,https://linkedin.com/in/user_9746392,32,,
231BBASF00041,Nitesh Pingle,Thomas Agrawal,Rajeshri Das,user41_dayita47@example.net,9239980366,1992-04-30,Male,765673989957,2017,Master of Science,Sabbatical,Not Applicable,Not Applicable,Not Applicable,"Java, Organic Synthesis, Financial Modeling",Excellent research facility but could be more modern.,https://linkedin.com/in/user_7476689,34,,
231SW00042,Chanakya Nadig,Luke Korpal,Yashawini Goswami,user42_nitaraborra@example.org,0074921518,2000-06-03,Female,964903577826,2021,Master of Arts,Consultant,"Ranganathan, Bora and Comar",Tax inspector,Not Applicable,"Communication, Quality Assurance, Cybersecurity",Incredible hands-on training with lots of opportunities.,https://linkedin.com/in/user_0515949,26,,
221BBASF00043,Upadhriti Lad,Bachittar Dash,Ladli Kale,user43_shroffbanjeet@example.org,0039496631,1991-02-15,Other,570938938791,2022,Bachelor of Pharmacy,Volunteer,Not Applicable,Not Applicable,Not Applicable,"Search Engine Optimization, Power BI, Python",Amazing campus life overall a wonderful journey.,https://linkedin.com/in/user_8092683,35,,
211MST00044,Azaan Parekh,Harsh Basu,Dayamai Sibal,user44_advaygoel@example.org,0768870904,2004-07-21,Male,144840143155,2017,Bachelor of Commerce,Research Scholar,Not Applicable,Student / Scholar,"Barman, Kara and Thakur University","Organic Synthesis, Agile Methodologies, Machine Learning",Decent peer group but could be more modern.,https://linkedin.com/in/user_6178251,22,,
231SW00045,Aishani Wable,Ikbal Hayre,Bhanumati Ranganathan,user45_inayaravi@example.com,1559205442,2002-09-04,Male,702166352280,2024,Bachelor of Fine Arts,Seeking Employment,Not Applicable,Not Applicable,Not Applicable,"Python, Data Analysis, Spectroscopic Analysis",Outstanding academic environment - highly recommended!,https://linkedin.com/in/user_1577754,24,,
211BPS00046,Pratyush Mittal,George Edwin,Ijaya Dara,user46_tsharaf@example.net,9778212777,1997-09-29,Other,393690389074,2021,Bachelor of Architecture,Teaching Assistant,"Murty, Narula and Ram","Psychologist, counselling",Not Applicable,"C++, Data Analysis, Blockchain",Excellent peer group overall a wonderful journey.,https://linkedin.com/in/user_6543146,29,,
211BCOMB00047,Isaac Lad,Jacob Tara,Vyanjana Loke,user47_rachit18@example.org,6716264563,1995-05-31,Male,030401040846,2021,Bachelor of Dental Surgery,Apprenticeship,Tank-Vyas,Higher education lecturer,Not Applicable,"Power BI, Digital Marketing, Quality Assurance",Outstanding faculty support though it was quite rigorous.,https://linkedin.com/in/user_6593154,31,,
222BBAB00048,Banjeet Raman,Chakradhar Parmar,Krishna Singhal,user48_bajajkabir@example.org,8382664309,1993-07-20,Male,741478201667,2021,Bachelor of Computer Applications,Internship,"Kanda, Rattan and Bumb",Economist,Not Applicable,"Communication, Quality Assurance, Python",Excellent academic environment with lots of opportunities.,https://linkedin.com/in/user_8435733,33,,
212HSO00049,Ijaya Rege,Viraj Majumdar,Amaira Sule,user49_tsrivastava@example.org,3343325652,1991-05-22,Female,528661171475,2013,Bachelor of Computer Applications,Pursuing Master’s Degree,Not Applicable,Student / Scholar,Madan PLC University,"Graphic Design, Financial Modeling, Data Analysis",Great placement record making it worth the time.,https://linkedin.com/in/user_9410182,35,,
221ELCS00050,Panini Loyal,Yug Bawa,Neha Dara,user50_qtella@example.com,7004062232,1992-11-18,Other,643007148946,2020,Bachelor of Architecture,Volunteer,Not Applicable,Not Applicable,Not Applicable,"Digital Marketing, Search Engine Optimization, Agile Methodologies",Incredible peer group with excellent industry exposure.,https://linkedin.com/in/user_5099775,34,,
232VC00051,Gopal Subramaniam,Daniel Radhakrishnan,Kashish Lalla,user51_chadhagautami@example.net,9335357426,1994-04-18,Female,275507832784,2020,Master of Science,Remote Worker,Salvi-Prabhakar,Garment/textile technologist,Not Applicable,"Sales, Project Management, Cybersecurity",Excellent curriculum and a great place to grow.,https://linkedin.com/in/user_5157606,32,,
222IFA00052,Viraj Biswas,Vivaan Hayer,Ishanvi Chatterjee,user52_sarinsamarth@example.com,5308902203,1997-01-25,Female,053576576059,2020,Bachelor of Business Administration,Career Break,Not Applicable,Not Applicable,Not Applicable,"Data Analysis, Quality Assurance, Communication",Great curriculum and a great place to grow.,https://linkedin.com/in/user_3524556,29,,
221BCAA00053,Lucky Gupta,Lakshit Mandal,Omisha Dani,user53_xsarraf@example.com,2673219481,1997-04-05,Other,044439637272,2019,Bachelor of Arts,Postdoctoral Researcher,Not Applicable,Student / Scholar,Deep Inc University,"Cloud Computing, Wet-Lab Techniques, SQL",Good peer group which helped my career immensely.,https://linkedin.com/in/user_8719722,29,,
232JNOE00054,Abhimanyu Swamy,Ekapad Gupta,Dipta Butala,user54_emodi@example.net,7330818644,1997-02-27,Male,617352243689,2017,Bachelor of Social Work,Volunteer,Not Applicable,Not Applicable,Not Applicable,"Spectroscopic Analysis, Search Engine Optimization, Marketing",Decent peer group with excellent industry exposure.,https://linkedin.com/in/user_8161488,29,,
222BZ00055,Abha Sunder,Pranav Som,Qushi Seth,user55_ekansh48@example.net,2363271999,1995-09-23,Male,870058499647,2022,Bachelor of Engineering,Employed Full-Time,Raghavan LLC,"Lighting technician, broadcasting/film/video",Not Applicable,"Search Engine Optimization, Machine Learning, C++",Good hands-on training - highly recommended!,https://linkedin.com/in/user_0048136,31,,
212BPS00056,Prisha Palla,Harshil Bahl,Yashica Edwin,user56_diptakhalsa@example.org,0928436917,1991-08-18,Other,495902994963,2014,Bachelor of Dental Surgery,Teaching Assistant,"Sem, Sampath and Bawa",Psychiatric nurse,Not Applicable,"Python, Cloud Computing, Digital Marketing",Amazing placement record and very supportive staff.,https://linkedin.com/in/user_9532785,35,,
222HPS00057,Ria Master,Aarush Krishnan,Jyoti Dhillon,user57_obuch@example.org,7853021992,1993-11-22,Other,774002389194,2021,Bachelor of Commerce,CEO / Executive,Mannan Ltd,CEO / Executive,Not Applicable,"Spectroscopic Analysis, Wet-Lab Techniques, Cloud Computing",Decent curriculum which helped my career immensely.,https://linkedin.com/in/user_7575301,33,,
231INPP00058,Timothy Kar,Parth Dhar,Urvi Sawhney,user58_ydixit@example.net,2939286914,2003-02-06,Other,072028615233,2023,Master of Science,Seeking Employment,Not Applicable,Not Applicable,Not Applicable,"Financial Modeling, Blockchain, Java",Excellent campus life and very supportive staff.,https://linkedin.com/in/user_0256814,23,,
211EPY00059,Deepa Dar,Parth Hari,Eiravati Saha,user59_warjas50@example.com,3592118077,1997-05-09,Female,906634583736,2014,Bachelor of Commerce,Pursuing Master’s Degree,Not Applicable,Student / Scholar,Tella-Sheth University,"Marketing, Organic Synthesis, Machine Learning",Incredible campus life and very supportive staff.,https://linkedin.com/in/user_6511449,29,,
211PSCE00060,Lucky Patel,Peter Chad,Aashi Saini,user60_kalariya@example.org,5742670773,2000-06-15,Male,430445002399,2016,Bachelor of Technology,Remote Worker,"Anand, Ranganathan and Oak",Education administrator,Not Applicable,"Quality Assurance, Cloud Computing, Spectroscopic Analysis",Outstanding curriculum but could be more modern.,https://linkedin.com/in/user_7374860,26,,
222BPS00061,Indali Sawhney,Upkaar Shah,Suhani Kala,user61_imanne@example.com,5398212444,2001-08-04,Female,320666593993,2014,Bachelor of Dental Surgery,Teaching Assistant,Tank LLC,Psychiatric nurse,Not Applicable,"Power BI, Graphic Design, Python",Good hands-on training with excellent industry exposure.,https://linkedin.com/in/user_7802176,25,,
222ELCS00062,Madhavi Goswami,Tanish Ganesh,Ati Manne,user62_surmaanas@example.net,6399535886,1999-09-10,Other,450294413528,2019,Bachelor of Fine Arts,Self-Employed,Self,Self-Employed,Not Applicable,"Project Management, Quality Assurance, Machine Learning",Great faculty support but could be more modern.,https://linkedin.com/in/user_3406092,27,,
222JPY00063,Isha Wali,Jacob Bahl,Rajata Rao,user63_onkarmunshi@example.com,6632470926,1990-08-24,Male,908389317998,2023,Master of Business Administration,Consultant,Batta LLC,Garment/textile technologist,Not Applicable,"Java, Project Management, Organic Synthesis",Great curriculum overall a wonderful journey.,https://linkedin.com/in/user_4384021,36,,
222BBASF00064,Brinda Mani,Girindra Sama,Veda Saha,user64_cram@example.com,9773630030,2002-06-29,Male,508313493278,2015,Master of Technology,Career Break,Not Applicable,Not Applicable,Not Applicable,"Python, Cloud Computing, Financial Modeling",Fantastic faculty support but could be more modern.,https://linkedin.com/in/user_5435258,24,,
231CST00065,Wyatt Ratti,Frado Jayaraman,Chaaya Raja,user65_asaha@example.com,3788409976,1995-02-12,Male,054850024861,2018,Bachelor of Computer Applications,Self-Employed,Self,Self-Employed,Not Applicable,"SQL, Agile Methodologies, Spectroscopic Analysis",Great campus life which helped my career immensely.,https://linkedin.com/in/user_8469868,31,,
231JPY00066,Idika Goyal,Samar Lanka,Zaitra Gopal,user66_chanchalsaxena@example.com,3326128480,1992-08-15,Female,570371986507,2023,Bachelor of Laws,Remote Worker,"Borra, Rai and Majumdar",Mental health nurse,Not Applicable,"Blockchain, Wet-Lab Techniques, Python",Excellent hands-on training overall a wonderful journey.,https://linkedin.com/in/user_2653274,34,,
212HSO00067,Riya Ganesan,Tanish Bhatia,Pavani Dua,user67_oshagokhale@example.net,0186329193,2004-11-07,Other,173360174606,2015,Bachelor of Social Work,Volunteer,Not Applicable,Not Applicable,Not Applicable,"Agile Methodologies, C++, Marketing",Great curriculum and very supportive staff.,https://linkedin.com/in/user_0223741,22,,
231MST00068,Pahal Dua,Wahab Nigam,Hiral Walia,user68_zaitra76@example.net,5828229337,1995-09-19,Other,178123230114,2022,Master of Science,Apprenticeship,Mangat Group,Careers adviser,Not Applicable,"Sales, Search Engine Optimization, SQL",Thorough academic environment - highly recommended!,https://linkedin.com/in/user_9438427,31,,
212BZ00069,Manan Mangat,Banjeet Parekh,Xalak Comar,user69_tnadig@example.com,6332022344,2003-08-14,Other,678847699688,2023,Bachelor of Fine Arts,Consultant,"Manne, Bhatt and Lal",Research scientist (medical),Not Applicable,"Communication, Marketing, Quality Assurance",Amazing faculty support with lots of opportunities.,https://linkedin.com/in/user_1943501,23,,
221BTBY00070,Tanvi Nagarajan,Wyatt Lanka,Damini Talwar,user70_manthan78@example.com,9327345416,2000-12-27,Female,278815253180,2016,Bachelor of Design,Postdoctoral Researcher,Not Applicable,Student / Scholar,"Srivastava, Bhandari and Tata University","Search Engine Optimization, Cybersecurity, Data Analysis",Decent learning experience overall a wonderful journey.,https://linkedin.com/in/user_3415391,26,,
222JPY00071,Diya Murty,Chandresh Swaminathan,Vedika Dash,user71_gagan96@example.com,9132466188,1993-04-25,Female,029418729696,2019,Bachelor of Fine Arts,Sabbatical,Not Applicable,Not Applicable,Not Applicable,"Python, Blockchain, Machine Learning",Great hands-on training though it was quite rigorous.,https://linkedin.com/in/user_6992676,33,,
211IFA00072,Anika Kar,Yuvraj Kuruvilla,Vritti Tella,user72_harinakshisami@example.com,4303408891,1990-11-11,Female,951116481287,2019,Bachelor of Pharmacy,Employed Part-Time,"Ranganathan, Lal and Ramakrishnan","Psychologist, counselling",Not Applicable,"Project Management, Data Analysis, Spectroscopic Analysis",Highly engaging hands-on training - highly recommended!,https://linkedin.com/in/user_4444786,36,,
222BCADA00073,Farhan Mistry,Zayan Wadhwa,Eiravati Thakur,user73_yatan68@example.com,1946212828,1996-10-07,Female,389717084013,2018,Bachelor of Arts,Sabbatical,Not Applicable,Not Applicable,Not Applicable,"Digital Marketing, Project Management, Graphic Design",Fantastic infrastructure which helped my career immensely.,https://linkedin.com/in/user_2630617,30,,
232VC00074,Ria Karpe,Balhaar Sibal,Vanya Shah,user74_aachal54@example.org,7378399295,1990-03-21,Male,155610405636,2024,Bachelor of Social Work,Sabbatical,Not Applicable,Not Applicable,Not Applicable,"Blockchain, Data Analysis, Project Management",Good peer group with lots of opportunities.,https://linkedin.com/in/user_6765724,36,,
231BCOMC00075,Farhan Bassi,Peter Bhagat,Ishani Dubey,user75_triyachana@example.com,9553217615,1990-10-18,Male,569025698504,2013,Bachelor of Design,Freelancing,Self,Freelancing,Not Applicable,"Financial Modeling, Cloud Computing, Quality Assurance",Highly engaging placement record and very supportive staff.,https://linkedin.com/in/user_5124927,36,,
211BBAB00076,Warhi Chahal,Dev Chaudhari,Vidhi Dixit,user76_umangdass@example.com,4069701328,1994-05-10,Female,372953304476,2022,Bachelor of Design,Postdoctoral Researcher,Not Applicable,Student / Scholar,Barman-Gaba University,"Cybersecurity, Machine Learning, Spectroscopic Analysis",Thorough placement record though it was quite rigorous.,https://linkedin.com/in/user_9710550,32,,
222PSCE00077,Janaki Gour,Gagan Shere,Jagvi Buch,user77_bailupadhriti@example.org,0869884086,2002-08-04,Female,159335477350,2014,Bachelor of Pharmacy,Career Break,Not Applicable,Not Applicable,Not Applicable,"Graphic Design, Project Management, Cybersecurity",Thorough academic environment making it worth the time.,https://linkedin.com/in/user_5243723,24,,
212ECI00078,Shravya Menon,Arjun Chana,Varsha Krishnan,user78_qmuni@example.org,8993470158,1997-05-17,Female,918781394035,2023,Master of Business Administration,Employed Part-Time,Puri Ltd,Acupuncturist,Not Applicable,"Blockchain, Agile Methodologies, Marketing",Outstanding infrastructure and a great place to grow.,https://linkedin.com/in/user_0311299,29,,
212VC00079,Jyoti Chana,Michael Narain,Pavani Brar,user79_lguha@example.com,7452364407,1999-06-08,Female,730568019738,2018,Master of Business Administration,Employed Part-Time,"Balakrishnan, Patla and Vala",Quarry manager,Not Applicable,"Organic Synthesis, Blockchain, Sales",Excellent peer group but could be more modern.,https://linkedin.com/in/user_0220786,27,,
